OPEID6,Institution,City,County,Region,Predominant Award,Sector,Undergraduate Degree-seeking students,ZIP,Latitude,Longitude,Median Earnings 10 Years After Enrollment,Annual Net Price
1111,Allan Hancock College,Santa Maria,Santa Barbara,Central Coast,Associate's,Public,7812,93454-6399,34.943716,-120.421144,42786,4638
1113,Antelope Valley Community College District,Lancaster,Los Angeles,Los Angeles,Associate's,Public,10905,93536-5426,34.676207,-118.186166,36526,8263
1118,Bakersfield College,Bakersfield,Kern,San Joaquin Valley,Associate's,Public,16451,93305-1299,35.40911,-118.973753,37291,4751
1119,Barstow Community College,Barstow,San Bernardino,Inland Empire,Associate's,Public,2585,92311,34.870285,-117.023412,35104,12347
1124,Cabrillo College,Aptos,Santa Cruz,Central Coast,Associate's,Public,7404,95003,36.989448,-121.924797,44114,13328
1161,Cerritos College,Norwalk,Los Angeles,Los Angeles,Certificate,Public,18710,90650-6298,33.886874,-118.097337,41156,693
1162,Chabot College,Hayward,Alameda,Bay Area,Associate's,Public,10861,94545,37.642458,-122.105636,48143,4616
1163,Chaffey College,Rancho Cucamonga,San Bernardino,Inland Empire,Associate's,Public,13568,91737-3002,34.147663,-117.573932,42975,5743
1166,Citrus College,Glendora,Los Angeles,Los Angeles,Certificate,Public,8126,91741-1899,34.13537,-117.886469,42065,3800
1176,Coalinga College,Coalinga,Fresno,San Joaquin Valley,Associate's,Public,2177,93210,36.147891,-120.356747,37633,8626
1178,College of Marin,Kentfield,Marin,Bay Area,Associate's,Public,3928,94904-2590,37.951918,-122.548758,42654,15517
1181,College of San Mateo,San Mateo,San Mateo,Bay Area,Associate's,Public,7359,94402-3784,37.535698,-122.334801,54172,1504
1182,College of the Desert,Palm Desert,Riverside,Inland Empire,Associate's,Public,8900,92260,33.732108,-116.388271,39020,11812
1185,College of the Redwoods,Eureka,Humboldt,North-Far North,Associate's,Public,3514,95501-9300,40.698427,-124.195293,36243,3214
1186,College of the Sequoias,Visalia,Tulare,San Joaquin Valley,Associate's,Public,10752,93277-2214,36.323877,-119.315182,39092,29
1187,College of the Siskiyous,Weed,Siskiyou,North-Far North,Associate's,Public,1080,96094-2899,41.413005,-122.38909,39098,7241
1190,Contra Costa College,San Pablo,Contra Costa,Bay Area,Certificate,Public,4805,94806,37.969381,-122.337377,40850,6522
1191,Diablo Valley College,Pleasant Hill,Contra Costa,Bay Area,Associate's,Public,14734,94523,37.968516,-122.073142,51378,6142
1192,Cuesta College,San Luis Obispo,San Luis Obispo,Central Coast,Certificate,Public,6879,93403-8106,35.331276,-120.742235,46047,12898
1193,Cypress College,Cypress,Orange,Orange,Certificate,Public,12309,90630-5897,33.82833,-118.025143,43533,4683
1197,El Camino Community College District,Torrance,Los Angeles,Los Angeles,Associate's,Public,18994,90506,33.885229,-118.329913,41589,5170
1199,Foothill College,Los Altos Hills,Santa Clara,Bay Area,Certificate,Public,10922,94022,37.361655,-122.127964,57072,7549
1201,Fullerton College,Fullerton,Orange,Orange,Associate's,Public,16637,92832-2095,33.875514,-117.918255,43366,8090
1202,Gavilan College,Gilroy,Santa Clara,Bay Area,Associate's,Public,4410,95020,36.972627,-121.569842,47169,2244
1203,Glendale Community College,Glendale,Los Angeles,Los Angeles,Associate's,Public,9807,91208-2894,34.16745,-118.227666,41540,7461
1206,Golden West College,Huntington Beach,Orange,Orange,Associate's,Public,8919,92647-2710,33.732531,-118.002568,43145,2861
1208,Grossmont College,El Cajon,San Diego,San Diego,Associate's,Public,11467,92020-1799,32.815246,-117.006277,40309,2755
1209,Hartnell College,Salinas,Monterey,Central Coast,Associate's,Public,7153,93901,36.675091,-121.666054,44316,2895
1214,Imperial Valley College,Imperial,Imperial,Imperial,Associate's,Public,6881,92251-0158,32.827209,-115.503563,34487,1697
1217,Lassen Community College,Susanville,Lassen,North-Far North,Associate's,Public,1564,96130,40.432053,-120.633271,35994,7677
1219,Long Beach City College,Long Beach,Los Angeles,Los Angeles,Certificate,Public,21899,90808-1706,33.833593,-118.135633,38870,5001
1223,Los Angeles City College,Los Angeles,Los Angeles,Los Angeles,Associate's,Public,10857,90029,34.087301,-118.292169,36190,7532
1224,Los Angeles Harbor College,Wilmington,Los Angeles,Los Angeles,Associate's,Public,6496,90744-2397,33.785825,-118.283549,41133,11245
1226,Los Angeles Pierce College,Woodland Hills,Los Angeles,Los Angeles,Associate's,Public,13029,91371-0002,34.183949,-118.575071,44521,11196
1227,Los Angeles Trade Technical College,Los Angeles,Los Angeles,Los Angeles,Certificate,Public,10165,90015-4181,34.031907,-118.269447,35233,10658
1228,Los Angeles Valley College,Valley Glen,Los Angeles,Los Angeles,Associate's,Public,12470,91401-4096,34.175165,-118.421734,42678,10200
1229,Southern California University of Health Sciences,Whittier,Los Angeles,Los Angeles,Certificate,Private non-profit,132,90604,33.922966,-117.983401,70649,45633
1232,American River College,Sacramento,Sacramento,Sacramento-Tahoe,Associate's,Public,25758,95841-4286,38.65085,-121.349672,40162,4628
1233,Sacramento City College,Sacramento,Sacramento,Sacramento-Tahoe,Associate's,Public,16952,95822-1386,38.541096,-121.491139,42214,3974
1237,Merced College,Merced,Merced,San Joaquin Valley,Associate's,Public,9677,95348-2806,37.3353,-120.476464,37815,4260
1239,MiraCosta College,Oceanside,San Diego,San Diego,Certificate,Public,10474,92056-3899,33.190483,-117.302606,43845,7178
1240,Modesto Junior College,Modesto,Stanislaus,San Joaquin Valley,Associate's,Public,14714,95350-5800,37.651056,-121.009792,42368,10176
1242,Monterey Peninsula College,Monterey,Monterey,Central Coast,Associate's,Public,5759,93940-4799,36.590558,-121.884931,42176,13498
1245,Mt San Antonio College,Walnut,Los Angeles,Los Angeles,Associate's,Public,25311,91789-1399,34.047764,-117.846629,46283,3107
1246,Mt San Jacinto Community College District,San Jacinto,Riverside,Inland Empire,Associate's,Public,14859,92583-2399,33.806748,-116.971169,38319,7098
1247,Napa Valley College,Napa,Napa,Bay Area,Associate's,Public,3205,94558-6236,38.274081,-122.274381,49517,14046
1250,Orange Coast College,Costa Mesa,Orange,Orange,Certificate,Public,16117,92626,33.66927,-117.909086,47348,4754
1259,Palo Verde College,Blythe,Riverside,Inland Empire,Associate's,Public,2909,92225,33.661538,-114.651698,36389,10543
1260,Palomar College,San Marcos,San Diego,San Diego,Certificate,Public,16167,92069-1487,33.149483,-117.183978,42300,5247
1261,Pasadena City College,Pasadena,Los Angeles,Los Angeles,Associate's,Public,20624,91106-2003,34.144552,-118.118196,43937,3123
1266,Laney College,Oakland,Alameda,Bay Area,Associate's,Public,7158,94607,37.797257,-122.26283,37282,15805
1267,Merritt College,Oakland,Alameda,Bay Area,Associate's,Public,5153,94619-3196,37.789088,-122.167335,44392,14742
1268,Porterville College,Porterville,Tulare,San Joaquin Valley,Associate's,Public,2775,93257,36.049256,-119.014368,36328,3728
1269,Rio Hondo College,Whittier,Los Angeles,Los Angeles,Associate's,Public,15365,90601-1616,34.019821,-118.033506,44950,11903
1270,Riverside City College,Riverside,Riverside,Inland Empire,Associate's,Public,17361,92506,33.970918,-117.384323,41091,4026
1272,San Bernardino Valley College,San Bernardino,San Bernardino,Inland Empire,Certificate,Public,11106,92410-2798,34.086353,-117.313248,39676,8234
1273,San Diego City College,San Diego,San Diego,San Diego,Associate's,Public,10584,92101-4787,32.717403,-117.152733,38503,818
1275,San Diego Mesa College,San Diego,San Diego,San Diego,Associate's,Public,15899,92111-4998,32.803825,-117.169165,45120,904
1280,San Joaquin Delta College,Stockton,San Joaquin,San Joaquin Valley,Associate's,Public,13964,95207,37.995562,-121.317597,43212,8508
1282,San Jose City College,San Jose,Santa Clara,Bay Area,Certificate,Public,7039,95128-2798,37.315827,-121.926185,46215,16658
1284,Santa Ana College,Santa Ana,Orange,Orange,Certificate,Public,22011,92706-3398,33.759309,-117.887558,43552,3854
1285,Santa Barbara City College,Santa Barbara,Santa Barbara,Central Coast,Associate's,Public,10070,93109-2394,34.406788,-119.698045,47647,10029
1286,Santa Monica College,Santa Monica,Los Angeles,Los Angeles,Associate's,Public,21194,90405-1628,34.017022,-118.469765,42193,3600
1287,Santa Rosa Junior College,Santa Rosa,Sonoma,Bay Area,Certificate,Public,14327,95401-4395,38.45709,-122.718974,47224,5541
1289,Shasta College,Redding,Shasta,North-Far North,Associate's,Public,5536,96003,40.625731,-122.317982,39269,3743
1290,Sierra College,Rocklin,Placer,Sacramento-Tahoe,Associate's,Public,13455,95677-3397,38.790773,-121.211688,45294,4462
1292,Solano Community College,Fairfield,Solano,Bay Area,Associate's,Public,7688,94534-3197,38.235881,-122.122368,44170,3869
1294,Southwestern College,Chula Vista,San Diego,San Diego,Associate's,Public,16640,91910-7299,32.640281,-116.996803,40060,10893
1307,Fresno City College,Fresno,Fresno,San Joaquin Valley,Associate's,Public,18774,93741,36.768164,-119.796096,37361,1699
1308,Reedley College,Reedley,Fresno,San Joaquin Valley,Certificate,Public,4853,93654,36.605428,-119.458555,38493,1584
1309,Taft College,Taft,Kern,San Joaquin Valley,Associate's,Public,3216,93268,35.149343,-119.459751,38861,2699
1334,Ventura College,Ventura,Ventura,Central Coast,Associate's,Public,9971,93003-3872,34.277393,-119.230604,43430,2257
1335,Victor Valley College,Victorville,San Bernardino,Inland Empire,Certificate,Public,12107,92395-5850,34.472231,-117.261456,36119,3228
1338,West Valley College,Saratoga,Santa Clara,Bay Area,Associate's,Public,6086,95070,37.26398,-122.008324,51688,1842
1344,Yuba College,Marysville,Yuba,Sacramento-Tahoe,Associate's,Public,4311,95901,39.126536,-121.53964,39552,3573
4480,De Anza College,Cupertino,Santa Clara,Bay Area,Associate's,Public,14953,95014,37.319914,-122.045783,56596,4667
4481,Ohlone College,Fremont,Alameda,Bay Area,Associate's,Public,6958,94539-0390,37.529931,-121.911795,54278,14130
4502,City College of San Francisco,San Francisco,San Francisco,Bay Area,Certificate,Public,16060,94112-1898,37.725953,-122.451155,45805,7272
5638,Downey Adult School,Downey,Los Angeles,Los Angeles,Certificate,Public,844,90241,33.91965,-118.115727,46851,13102
5655,Hacienda La Puente Adult Education,La Puente,Los Angeles,Los Angeles,Certificate,Public,496,91746-0002,34.043301,-117.979139,39271,4211
6720,College of Alameda,Alameda,Alameda,Bay Area,Associate's,Public,4274,94501,37.781017,-122.279303,42563,9280
6731,Casa Loma College-Los Angeles,Sherman Oaks,Los Angeles,Los Angeles,Associate's,Private non-profit,581,91403,34.155096,-118.466548,49854,27721
6973,Canada College,Redwood City,San Mateo,Bay Area,Associate's,Public,4878,94061-1099,37.44877,-122.265398,50087,10
7047,Los Angeles Southwest College,Los Angeles,Los Angeles,Los Angeles,Associate's,Public,3793,90047-4899,33.929586,-118.304674,32172,6683
7050,Bellus Academy-Chula Vista,Chula Vista,San Diego,San Diego,Certificate,Private for-profit,379,91911,32.614773,-117.083738,23576,20159
7115,Moorpark College,Moorpark,Ventura,Central Coast,Associate's,Public,12011,93021-1695,34.301146,-118.834528,49044,742
7142,Lyle's College of  Beauty,Fresno,Fresno,San Joaquin Valley,Certificate,Private for-profit,77,93710,36.836265,-119.774167,25913,17560
7142,Lyle's College of Beauty,Bakersfield,Kern,San Joaquin Valley,Certificate,Private for-profit,96,93301,35.386539,-119.02387,25913,19746
7187,North Adrian's College of Beauty Inc,Modesto,Stanislaus,San Joaquin Valley,Certificate,Private for-profit,213,95350-2381,37.677778,-120.992753,27269,20347
7203,Salon Success Academy-West Covina,West Covina,Los Angeles,Los Angeles,Certificate,Private for-profit,82,91790-2876,34.070568,-117.933801,26956,16649
7203,Salon Success Academy-Upland,Upland,San Bernardino,Inland Empire,Certificate,Private for-profit,238,91786,34.108247,-117.631783,26956,16626
7204,Modern Beauty Academy,Oxnard,Ventura,Central Coast,Certificate,Private for-profit,62,93030,34.195384,-119.181423,22477,11582
7253,Federico Beauty Institute,Sacramento,Sacramento,Sacramento-Tahoe,Certificate,Private for-profit,245,95834,38.64883,-121.497761,29856,25736
7465,American Academy of Dramatic Arts-Los Angeles,Los Angeles,Los Angeles,Los Angeles,Associate's,Private non-profit,169,90028,34.095378,-118.343701,27019,40991
7536,Cosumnes River College,Sacramento,Sacramento,Sacramento-Tahoe,Associate's,Public,13527,95823-5799,38.45295,-121.423108,42446,4648
7607,Concorde Career College-North Hollywood,North Hollywood,Los Angeles,Los Angeles,Certificate,Private for-profit,143,91606-3134,34.186407,-118.403627,50552,23584
7707,Columbia College,Sonora,Tuolumne,Central Sierra,Associate's,Public,1917,95370,38.030367,-120.388385,39035,15468
7713,Skyline College,San Bruno,San Mateo,Bay Area,Associate's,Public,7132,94066-1698,37.63042,-122.467335,55702,1180
7930,Concorde Career College-San Diego,San Diego,San Diego,San Diego,Certificate,Private for-profit,178,92113-1964,32.702814,-117.102845,39169,24477
8071,Concorde Career College-Garden Grove,Garden Grove,Orange,Orange,Certificate,Private for-profit,202,92840-9201,33.774741,-117.938395,45711,22610
8073,Butte College,Oroville,Butte,Upper Sacramento Valley,Associate's,Public,8384,95965-8399,39.649782,-121.644831,41810,4632
8221,Universal Technical Institute-Southern California,Long Beach,Los Angeles,Los Angeles,Associate's,Private for-profit,1447,90808-1789,33.826017,-118.145393,52873,24867
8221,Universal Technical Institute of California Inc,Rancho Cucamonga,San Bernardino,Inland Empire,Associate's,Private for-profit,1484,91730-0000,34.082782,-117.576366,52873,23526
8537,Concorde Career College-San Bernardino,San Bernardino,San Bernardino,Inland Empire,Certificate,Private for-profit,260,92408-3403,34.066823,-117.283995,39993,23161
8596,West Los Angeles College,Culver City,Los Angeles,Los Angeles,Associate's,Public,7277,90230-3519,34.004512,-118.386664,38537,7131
8597,Feather River Community College District,Quincy,Plumas,North-Far North,Associate's,Public,1574,95971-9124,39.953101,-120.973067,38142,6520
8903,College of the Canyons,Santa Clarita,Los Angeles,Los Angeles,Associate's,Public,15365,91355-1899,34.403993,-118.568698,49022,2114
8918,Saddleback College,Mission Viejo,Orange,Orange,Associate's,Public,15959,92692-3635,33.553346,-117.665584,50874,2976
9022,Associated Technical College-Los Angeles,Los Angeles,Los Angeles,Los Angeles,Certificate,Private for-profit,159,90017-1604,34.056102,-118.272364,24368,22236
9272,Crafton Hills College,Yucaipa,San Bernardino,Inland Empire,Associate's,Public,5074,92339-1799,34.039178,-117.101173,42553,10655
9509,Charles A Jones Career and Education Center,Sacramento,Sacramento,Sacramento-Tahoe,Certificate,Public,90,95824-1529,38.516233,-121.440796,41047,15980
9748,Carrington College-San Leandro Campus,San Leandro,Alameda,Bay Area,Certificate,Private for-profit,400,94578-3711,37.699627,-122.12567,39633,32368
9748,Carrington College-Stockton,Stockton,San Joaquin,San Joaquin Valley,Certificate,Private for-profit,429,95207-5509,37.998992,-121.323199,39633,30387
9748,Carrington College-Pleasant Hill Campus,Pleasant Hill,Contra Costa,Bay Area,Certificate,Private for-profit,430,94523-1984,37.962649,-122.072153,39633,30749
9748,Carrington College-San Jose,San Jose,Santa Clara,Bay Area,Certificate,Private for-profit,680,95138,37.248411,-121.777062,39633,31043
9748,Carrington College-Sacramento,Sacramento,Sacramento,Sacramento-Tahoe,Certificate,Private for-profit,2262,95826,38.556104,-121.371383,39633,37143
10111,Cerro Coso Community College,Ridgecrest,Kern,San Joaquin Valley,Associate's,Public,3496,93555-9571,35.567525,-117.66767,34963,6078
10340,Los Medanos College,Pittsburg,Contra Costa,Bay Area,Associate's,Public,7100,94565,38.006474,-121.860967,42454,5692
11112,FIDM-Fashion Institute of Design & Merchandising,Los Angeles,Los Angeles,Los Angeles,Associate's,Private for-profit,1319,90015-1421,34.044209,-118.25993,49840,41493
11672,Mendocino College,Ukiah,Mendocino,North-Far North,Associate's,Public,2857,95482,39.188989,-123.228809,40243,7500
11707,North-West College-Glendale,Glendale,Los Angeles,Los Angeles,Certificate,Private for-profit,100,91203,34.148981,-118.255462,37542,34899
11707,North-West College-West Covina,West Covina,Los Angeles,Los Angeles,Certificate,Private for-profit,635,91790,34.072071,-117.949583,37542,28408
11820,San Diego Miramar College,San Diego,San Diego,San Diego,Associate's,Public,10740,92126-2999,32.909757,-117.120261,48224,2735
11865,California Hair Design Academy,La Mesa,San Diego,San Diego,Certificate,Private for-profit,125,91942-5055,32.765221,-117.024261,19347,40350
11866,Lu Ross Academy,Ventura,Ventura,Central Coast,Certificate,Private for-profit,277,93001-2729,34.278034,-119.293952,23148,15711
12026,Bellus Academy-El Cajon,El Cajon,San Diego,San Diego,Certificate,Private for-profit,205,92021,32.794072,-116.94627,30807,29547
12446,Universal College of Beauty Inc-Los Angeles 2,Los Angeles,Los Angeles,Los Angeles,Certificate,Private for-profit,38,90008,34.004498,-118.332236,17821,18591
12452,Evergreen Valley College,San Jose,Santa Clara,Bay Area,Associate's,Public,7670,95135-1598,37.30167,-121.76561,53077,12591
12550,Los Angeles Mission College,Sylmar,Los Angeles,Los Angeles,Associate's,Public,8031,91342-3200,34.314668,-118.4195,39834,11972
12842,Oxnard College,Oxnard,Ventura,Central Coast,Associate's,Public,6059,93033-6699,34.166104,-119.157604,41393,659
12872,North-West College-Riverside,Riverside,Riverside,Inland Empire,Certificate,Private for-profit,680,92503,33.9145,-117.485881,39876,29106
12872,North-West College-Pomona,Pomona,Los Angeles,Los Angeles,Certificate,Private for-profit,315,91768,34.062043,-117.751227,39876,33256
12872,North-West College-Long Beach,Long Beach,Los Angeles,Los Angeles,Certificate,Private for-profit,576,90815-1770,33.801894,-118.14854,39876,32474
12872,North-West College-Anaheim,Anaheim,Orange,Orange,Certificate,Private for-profit,455,92801,33.839313,-117.959766,39876,31140
12907,Lake Tahoe Community College,South Lake Tahoe,El Dorado,Sacramento-Tahoe,Associate's,Public,2909,96150,38.926797,-119.972574,36657,10975
12912,MTI College,Sacramento,Sacramento,Sacramento-Tahoe,Certificate,Private for-profit,1025,95841-9817,38.661377,-121.342568,45328,20336
12984,Professional Institute of Beauty,El Monte,Los Angeles,Los Angeles,Certificate,Private for-profit,90,91731,34.075561,-118.039028,16886,13152
13010,Lancaster Beauty School,Lancaster,Los Angeles,Los Angeles,Certificate,Private for-profit,131,93534,34.694914,-118.147547,16220,21235
13074,American Beauty College,West Covina,Los Angeles,Los Angeles,Certificate,Private for-profit,250,91790,34.069367,-117.936959,22481,24076
13095,Salon Success Academy-Corona,Corona,Riverside,Inland Empire,Certificate,Private for-profit,216,92881,33.847649,-117.535638,22412,12983
13095,Salon Success Academy-Redlands,Redlands,San Bernardino,Inland Empire,Certificate,Private for-profit,259,92373,34.062342,-117.218933,22412,14662
13095,Salon Success Academy-Fontana,Fontana,San Bernardino,Inland Empire,Certificate,Private for-profit,34,92335,34.099087,-117.437904,22412,10813
13240,Lytles Redwood Empire Beauty College,Santa Rosa,Sonoma,Bay Area,Certificate,Private for-profit,114,95403,38.508385,-122.75777,20358,24603
20635,Coastline Community College,Fountain Valley,Orange,Orange,Associate's,Public,7007,92708-2597,33.716054,-117.928979,44483,9605
20643,Sierra College of Beauty,Merced,Merced,San Joaquin Valley,Certificate,Private for-profit,245,95340,37.306975,-120.495874,18519,11519
20657,California Beauty School,Modesto,Stanislaus,San Joaquin Valley,Certificate,Private for-profit,73,95354,37.645371,-120.997481,22255,11547
21005,Universal Technical Institute of Northern California Inc,Sacramento,Sacramento,Sacramento-Tahoe,Associate's,Private for-profit,1107,95834,38.64575,-121.529503,48341,26671
21113,Cuyamaca College,El Cajon,San Diego,San Diego,Associate's,Public,6788,92019,32.744305,-116.942854,32435,6187
21191,Mission College,Santa Clara,Santa Clara,Bay Area,Associate's,Public,5557,95054-1897,37.391935,-121.980783,50936,5198
21207,San Joaquin Valley College-Santa Maria,Santa Maria,Santa Barbara,Central Coast,Certificate,Private for-profit,163,93454-6921,34.937806,-120.433296,38317,20549
21207,San Joaquin Valley College-Delano,Delano,Kern,San Joaquin Valley,Certificate,Private for-profit,83,93215-9691,35.774826,-119.229077,38317,20843
21207,San Joaquin Valley College-Fresno,Fresno,Fresno,San Joaquin Valley,Certificate,Private for-profit,481,93710-3616,36.829907,-119.784003,38317,23045
21207,San Joaquin Valley College-Bakersfield,Bakersfield,Kern,San Joaquin Valley,Certificate,Private for-profit,820,93309-2659,35.352848,-119.062071,38317,23393
21207,San Joaquin Valley College-Porterville,Porterville,Tulare,San Joaquin Valley,Certificate,Private for-profit,98,93257-3730,36.071598,-119.01576,38317,23531
21207,San Joaquin Valley College-Trades Education Center,Fresno,Fresno,San Joaquin Valley,Certificate,Private for-profit,292,93727-1501,36.776798,-119.72824,38317,24093
21207,San Joaquin Valley College-Modesto,Salida,Stanislaus,San Joaquin Valley,Certificate,Private for-profit,590,95368-9090,37.717403,-121.092991,38317,24617
21207,San Joaquin Valley College-Hesperia,Hesperia,San Bernardino,Inland Empire,Certificate,Private for-profit,437,92344-8086,34.420693,-117.383116,38317,23634
21207,San Joaquin Valley College-Lancaster,Lancaster,Los Angeles,Los Angeles,Certificate,Private for-profit,239,93534-7018,34.648563,-118.148431,38317,23940
21207,San Joaquin Valley College-Visalia,Visalia,Tulare,San Joaquin Valley,Certificate,Private for-profit,2270,93291-9283,36.328049,-119.384981,38317,29092
21207,San Joaquin Valley College-Temecula,Temecula,Riverside,Inland Empire,Certificate,Private for-profit,649,92590-5678,33.525983,-117.166502,38317,26652
21207,San Joaquin Valley College-Ontario,Ontario,San Bernardino,Inland Empire,Certificate,Private for-profit,1022,91764-5107,34.068584,-117.55038,38317,25595
21207,San Joaquin Valley College-Rancho Mirage,Rancho Mirage,Riverside,Inland Empire,Certificate,Private for-profit,242,92270-2701,33.798782,-116.390793,38317,24175
21207,San Joaquin Valley College-Rancho Cordova,Rancho Cordova,Sacramento,Sacramento-Tahoe,Associate's,Private for-profit,226,95670-5642,38.595187,-121.28191,38317,27288
21250,Career Academy of Beauty,Garden Grove,Orange,Orange,Certificate,Private for-profit,207,92845,33.781018,-118.031697,24410,19101
21282,Bridges Beauty College,Victorville,San Bernardino,Inland Empire,Certificate,Private for-profit,80,92395-3821,34.528602,-117.303933,17287,20849
21283,Institute for Business and Technology,Santa Clara,Santa Clara,Bay Area,Certificate,Private for-profit,609,95051-1303,37.368642,-121.969541,38015,25471
